country,emb_0,emb_1,emb_2,emb_3
NR,-0.9603029717109919,0.012150116148053277,0.10937210098795454,-1.7129010797168887
NZ,-1.8945540455292413,-0.28930365815344844,0.35443929338816127,-0.04376317204461462
OE,-1.9062555129186103,-0.31742831698527646,0.4906622631790248,0.1316525488781124
OM,-1.5275943744997387,-0.3613502791119242,0.30116958417833534,-0.13151218507043427
PA,-0.6221821227314774,-0.28304055571338665,0.285014445759114,0.01102968842935866
PE,-0.8618191979871719,-0.36287545946861277,-0.18249872957359017,-0.8786451762205836
PG,3.609397678580938,0.4427884712841119,0.6151576833265031,1.0731771499427905
PH,0.2585607217863243,-0.21660144646909868,-0.6700824363411876,-0.17141482268073047
PK,2.1179731591043556,0.1492950299164669,-0.30839788987103217,-0.25223948251191036
PL,-1.3051036348767127,-0.45426437992763385,-0.28264425725581416,0.556227661005569
PR,-1.8204833674500887,-0.08028280974377383,0.6890133285674357,-0.6234929974692521
PS,-0.7088889389120554,-0.02197759399029631,-0.4074211198725526,-1.3048529310197519
PT,-1.5263343818481914,-0.4987847776537137,-0.353315631109443,0.6231252690524678
PW,-1.4409169215175368,-0.5518424918102514,-0.4916438859994032,-0.5174372822507485
PY,-0.11412985822339829,-0.3333384680158739,-0.3248746227881244,-0.4594235894867573
QA,-3.43992203468209,0.317662853504815,2.558442138570837,1.0633841637409644
RO,-0.6147748427680422,-0.3697683191787203,-0.11542736376580776,0.5369909718362781
RS,-0.6135334569160404,-0.4455647639807419,-0.4279851107804527,-0.025067170505005495
RU,-1.2451929515218372,-0.34408755318618284,0.22597157376355448,-0.08224462650982596
RW,3.4907277281483666,0.7072297786926085,0.3097001607413075,0.47683935432740565
S1,0.041696484413219985,-0.3669098219208592,-0.1275408340009396,0.23242298910500206
S2,1.329164197748342,-0.16231158726541023,-0.5487113058905955,0.13983293612458741
S3,-0.3566121212733897,-0.48073005018787374,-0.36386024911514003,0.4122988938071877
S4,-0.027793564591652508,-0.33093747400743306,0.011719058735537444,0.1731471866169859
SA,-2.118678954562953,-0.21646423839435333,0.824701660236949,0.2873508773234579
SB,2.5116684237623152,0.1690030762041744,-0.7956379333501834,0.40925939838906406
SC,-0.7201319052044801,-0.4856842425847,-0.6048653769488711,0.8855093465018834
SD,2.63977238970359,0.2328242269814123,0.3008779182111332,0.10290116674171139
SE,-2.844224959677517,-0.378942456170256,0.41994053744124243,0.42336610731479374
SG,-4.206923120712699,4.202968661602718,1.3200613149427838,1.2456240047310452
SI,-1.375350451988296,-0.47071740014617597,-0.24167467807151838,0.9004489254369471
SK,-0.8649383334471012,-0.4171143423434332,-0.13928725596222866,0.6332922929618311
SL,3.6873030330401018,0.8795772745874902,0.8921931959386227,-0.19497796553855148
SM,-1.744723257526644,0.3071809583514798,1.693741091315115,-0.47187682682087867
SN,1.9231296071859394,0.15828403467800226,0.33814726486463853,-0.384289777698911
SO,1.043318121556175,-0.1439923906792583,-0.0890608357648825,0.09707917182573055
SR,-0.05370546405406918,-0.23423386865823756,0.0696847721002537,-0.42123150790302155
ST,0.5729242913605955,0.010928050875239199,-0.07631488936910852,-0.6892853545147345
SV,-0.10802912567198741,-0.19459421902973492,-0.06883340493077666,-0.8681077868267978
SX,-1.7146234007757097,0.5244058471149972,0.793492060401588,-0.8497753131364342
SY,2.286346636174098,0.6041565594677906,0.4651736978906074,-1.764575760221448
SZ,1.1403741593854286,-0.3523810130645686,-0.6669234206522883,0.9654053017869234
