iso3,emb_0,emb_1,emb_2
QA,-3.4399220346820893,0.31766285350481516,2.558442138570837
RO,-0.6147748427680422,-0.3697683191787203,-0.11542736376580774
RS,-0.6135334569160404,-0.4455647639807419,-0.42798511078045276
RU,-1.2451929515218372,-0.34408755318618284,0.22597157376355448
RW,3.4907277281483666,0.7072297786926085,0.3097001607413076
S1,0.04169648441321995,-0.36690982192085925,-0.12754083400093963
S2,1.3291641977483417,-0.16231158726541023,-0.5487113058905955
S3,-0.3566121212733897,-0.48073005018787374,-0.36386024911514003
S4,-0.027793564591652494,-0.33093747400743306,0.011719058735537484
SA,-2.118678954562953,-0.21646423839435336,0.8247016602369491
SB,2.511668423762315,0.1690030762041744,-0.7956379333501834
SC,-0.7201319052044801,-0.48568424258469994,-0.6048653769488711
SD,2.63977238970359,0.23282422698141234,0.30087791821113313
SE,-2.844224959677517,-0.37894245617025607,0.41994053744124255
SG,-4.206923120712699,4.202968661602719,1.3200613149427838
SI,-1.375350451988296,-0.4707174001461759,-0.2416746780715184
SK,-0.8649383334471012,-0.4171143423434331,-0.13928725596222866
SL,3.6873030330401013,0.8795772745874902,0.8921931959386227
SM,-1.7447232575266438,0.30718095835147974,1.6937410913151152
SN,1.9231296071859394,0.15828403467800226,0.3381472648646386
SO,1.043318121556175,-0.14399239067925834,-0.08906083576488254
SR,-0.053705464054069195,-0.23423386865823753,0.06968477210025369
ST,0.5729242913605955,0.0109280508752392,-0.07631488936910852
SV,-0.10802912567198741,-0.19459421902973495,-0.06883340493077665
SX,-1.7146234007757097,0.524405847114997,0.793492060401588
SY,2.286346636174098,0.6041565594677906,0.4651736978906074
SZ,1.1403741593854286,-0.35238101306456865,-0.6669234206522882
T2,-0.8894326544400094,-0.3675403275632047,-0.12647815047320204
T3,0.30144414424579646,-0.3656901496145648,-0.733601719349419
T4,-0.16086314757587747,-0.3526366353388856,-0.4660944429563643
T5,1.121287630206659,-0.08548445506619502,-0.9403005154606608
T6,2.581732971383216,0.3465080674345599,0.6237679379550161
T7,-0.9640295509861653,-0.41577459580375165,-0.16540797689461595
TC,-1.4664706444269788,-0.3699916827890626,0.32054001507607843
TD,5.042986935486793,1.10433885262152,1.314317678914123
TG,2.3252845055797438,0.29819759470806523,0.1744191546722085
TH,-0.2714639239492786,-0.3774084946662938,-0.5678014895884358
TJ,1.2661449749645923,-0.36729143242262174,-1.4390965708761663
TL,1.2430351667091992,-0.31542463596389514,-0.9541895845732863
TM,0.16258639915011158,-0.43587782450663887,-0.7326330818540361
TN,-0.27435127087260736,-0.3404148446167612,-0.3982114094875382
TO,0.928129858477555,-0.45192538553038436,-1.5562692432736078
TR,-1.549395045211893,-0.30958785063610034,0.011477979205822978
TT,-0.8555370942913075,-0.36793528686298316,-0.1992107259761236
TV,0.4160113804689259,-0.1252513866279813,-0.6961992104517507
TZ,3.6849395899588053,0.6653107599956318,0.8674207949309818
UA,-0.29651748344710016,-0.29336667013146883,-0.27118110212657803
UG,2.5233931530335565,0.32807711219963914,-0.23187052550119008
